ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time
9984,ソフトバンクグループ,投資/テック,JP,3558.0,-5.12,35935700,41395135,0.87,6828.75,1457.05,39.1,3878.55,4111.02,3977.45,37.6,-171.0586,-151.9292,-19.1294,4420.68,3336.42,20.4,なし,6.65,,20276200865792,8.2,31.0,5416.853,52.2,2026-03-20T23:42:00.985532
4661,オリエンタルランド,レジャー/テーマパーク,JP,2724.0,-3.81,6346500,4806440,1.32,3707.66,2650.0,7.0,2780.68,2790.48,3137.65,42.7,-0.5073,0.4035,-0.9108,2863.43,2697.92,15.8,なし,35.21,,4466040373248,2.9,51.0,3584.4685,31.6,2026-03-20T23:42:01.482376
6098,リクルートHD,人材/テック,JP,6332.0,-3.39,7249300,7156410,1.01,9363.0,6114.0,6.7,6579.55,7501.2,8087.15,31.8,-231.0479,-268.5704,37.5224,7040.09,6119.01,23.1,なし,21.32,,8840824225792,5.2,39.0,9873.75,55.9,2026-03-20T23:42:01.908692
8058,三菱商事,総合商社,JP,5397.0,-5.51,22540600,12627965,1.78,5712.0,2298.47,90.8,5185.9,4650.54,3635.28,52.5,198.6523,197.582,1.0703,5546.1,4825.7,79.3,なし,30.77,,19821819330560,9.9,204.0,4773.6245,-11.6,2026-03-20T23:42:02.350200
8031,三井物産,総合商社,JP,6250.0,-6.14,16432200,8854510,1.86,6659.0,2434.4,90.3,5881.05,5446.46,4022.85,56.5,236.1891,203.2533,32.9358,6429.16,5332.94,83.7,なし,19.84,,17748641972224,-1.5,192.0,5935.385,-5.0,2026-03-20T23:42:02.872068
8001,伊藤忠商事,総合商社,JP,2024.0,-5.07,26730900,16227860,1.65,2270.0,1193.78,77.1,2128.35,2089.09,1778.33,31.9,-12.8165,-0.7959,-12.0206,2290.71,1965.99,17.9,なし,15.22,,14175877201920,-0.3,217.0,2338.4614,15.5,2026-03-20T23:42:03.483787
8306,三菱UFJ FG,メガバンク,JP,2686.0,-1.65,39731200,47483105,0.84,3085.0,1473.64,75.2,2769.45,2818.48,2364.83,32.8,-46.8888,-37.6614,-9.2274,3009.54,2529.36,32.6,なし,15.95,,30318486618112,11.7,290.0,3060.0,13.9,2026-03-20T23:42:03.970573
8316,三井住友FG,メガバンク,JP,5156.0,-1.9,13725700,15916685,0.86,6204.0,2816.75,69.1,5476.85,5544.6,4437.98,28.2,-137.5125,-96.8031,-40.7094,6158.64,4795.06,26.5,なし,13.79,,19685626085376,21.8,304.0,5878.205,14.0,2026-03-20T23:42:04.610214
6367,ダイキン工業,空調/機械,JP,19370.0,-2.07,1240000,1236850,1.0,20770.0,15016.78,75.7,19585.75,19428.0,18604.55,45.0,-53.4475,-30.9873,-22.4603,20544.0,18627.5,38.7,なし,20.7,,5672094662656,7.9,170.0,21855.086,12.8,2026-03-20T23:42:05.327345
7974,任天堂,ゲーム/エンタメ,JP,9734.0,-1.27,10748500,12811015,0.84,14607.65,8350.0,22.1,9141.1,9485.28,11967.73,62.3,174.247,20.5576,153.6894,10442.84,7839.36,72.8,なし,30.67,,11221637005312,86.3,186.0,12402.73,27.4,2026-03-20T23:42:05.805229
9983,ファーストリテイリング,小売/アパレル,JP,63430.0,-3.68,1242100,944880,1.31,69030.0,41255.98,79.8,65605.32,63677.81,53460.55,31.8,123.659,437.5176,-313.8586,68921.44,62289.19,17.2,なし,45.04,,19462212288512,14.8,85.0,65560.21,3.4,2026-03-20T23:42:06.297637
6501,日立製作所,総合電機/IT,JP,4849.0,-0.41,16630800,16591955,1.0,5818.0,2677.77,69.1,4896.4,5110.86,4572.06,35.3,-76.7798,-80.9422,4.1624,5152.3,4640.5,40.7,なし,28.99,,21871751856128,10.1,93.0,5876.923,21.2,2026-03-20T23:42:06.733889
6758,ソニーグループ,エンタメ/半導体,JP,3271.0,-0.46,23963400,23731475,1.01,4700.0,3000.11,15.9,3400.15,3539.54,3932.4,27.5,-60.9074,-56.0964,-4.811,3593.13,3207.17,16.5,なし,15.85,,19431524663296,0.5,76.0,4908.2607,50.1,2026-03-20T23:42:07.170966
4568,第一三共,製薬,JP,2903.0,-2.49,10668400,8732840,1.22,4174.0,2773.5,9.2,2905.15,3034.6,3429.11,39.8,-36.0824,-52.2734,16.191,3064.96,2745.34,49.3,なし,19.42,,5324447678464,15.1,269.0,4786.875,64.9,2026-03-20T23:42:07.631420
